
Time    Lng    Lat    Alt    Yaw    Pitch    Roll
2020/05/29-23:36:02:840    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:02:942    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:044    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:146    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:243    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:349    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:447    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:546    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:644    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:747    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:852    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:03:951    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:052    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:155    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:253    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:351    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:453    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:561    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:658    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:759    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:857    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:04:959    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:063    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:163    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:262    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:362    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:465    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:569    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:667    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:770    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:871    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:05:969    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:075    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:175    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:276    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:374    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:472    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:580    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:678    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:782    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:879    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:06:989    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:07:096    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:07:191    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:07:291    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:07:388    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:07:488    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
